Titre,Date de reprise,Genre
"The Dark Knight, Le Chevalier Noir",Pas de date,Action
Gladiator,Pas de date,Action
Indiana Jones et la Dernière Croisade,Pas de date,Action
Spider-Man : New Generation,Pas de date,Action
Top Gun: Maverick,Pas de date,Action
Les Aventuriers de l'Arche perdue,Pas de date,Action
Matrix,Pas de date,Action
Avengers: Infinity War,Pas de date,Action
Batman contre le fantôme masqué,Pas de date,Action
The Dark Knight Rises,Pas de date,Action
Le Roi Lion,11 avril 2012,Animation
Coco,Pas de date,Animation
Your Name,Pas de date,Animation
Le Tombeau des lucioles,Pas de date,Animation
"Les Enfants Loups, Ame & Yuki",Pas de date,Animation
Le Voyage de Chihiro,Pas de date,Animation
Animation
Princesse Mononoké,Pas de date,Animation
Toy Story 3,Pas de date,Animation
Le Conte de la princesse Kaguya,Pas de date,Animation
Le Seigneur des anneaux : le retour du roi,Pas de date,Aventure
Aventure
Le Seigneur des anneaux : la communauté de l'anneau,Pas de date,Aventure
Aventure
Le Seigneur des anneaux : les deux tours,Pas de date,Aventure
Star Wars : Episode V - L'Empire contre-attaque,9 avril 1997,Aventure
Retour vers le futur,Pas de date,Aventure
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),12 mars 1997,Aventure
Star Wars : Episode VI - Le Retour du Jedi,23 avril 1997,Aventure
Aventure
Green Book : Sur les routes du sud,Pas de date,Biopic
Lion,Pas de date,Biopic
Hamilton,Pas de date,Biopic
Tu ne tueras point,Pas de date,Biopic
Ip Man,Pas de date,Biopic
Bohemian Rhapsody,Pas de date,Biopic
Elephant Man,22 juin 2020,Biopic
Le Discours d'un roi,Pas de date,Biopic
Raging Bull,4 septembre 2002,Biopic
Rush,Pas de date,Biopic
Forrest Gump,28 octobre 2015,Comédie
Le Dictateur,10 juillet 2019,Comédie
Comédie
La Vie est belle,Pas de date,Comédie
Le Kid,10 juillet 2019,Comédie
Comédie
Edward aux mains d'argent,Pas de date,Comédie
La Ruée vers l'or,10 juillet 2019,Comédie
La Grande Vadrouille,13 juillet 2016,Comédie
Comédie
Les Temps modernes,10 juillet 2019,Comédie dramatique
Les Lumières de la ville,10 juillet 2019,Comédie dramatique
Comédie dramatique
Le Cercle des poètes disparus,Pas de date,Comédie dramatique
Au Revoir Là-haut,Pas de date,Comédie dramatique
La Barbe à papa,25 septembre 2013,Comédie dramatique
Amadeus,12 juin 2002,Comédie dramatique
Le Fanfaron,3 octobre 2018,Comédie dramatique
Captain Fantastic,Pas de date,Comédie dramatique
La Trilogie Marseillaise de Marcel Pagnol : César,10 juillet 2019,Comédie dramatique
Drame
12 hommes en colère,25 juillet 2007,Drame
Le Parrain,23 février 2022,Drame
Les Evadés,Pas de date,Drame
Vol au-dessus d'un nid de coucou,16 septembre 2009,Drame
Il était une fois en Amérique,6 mai 2015,Drame
Gran Torino,Pas de date,Drame
Interstellar,Pas de date,Drame
Les Affranchis,Pas de date,Drame
Fight Club,15 mai 2019,Drame
Psychose,6 avril 2022,Epouvante-horreur
"Alien, le huitième passager",12 novembre 2003,Epouvante-horreur
Shining,22 mai 2019,Epouvante-horreur
La Nuit du chasseur,13 avril 2011,Epouvante-horreur
Les Diaboliques,8 novembre 2017,Epouvante-horreur
Freaks,Pas de date,Epouvante-horreur
The Thing,27 janvier 2016,Epouvante-horreur
Les Innocents,15 juillet 2015,Epouvante-horreur
Les Oiseaux,28 février 2018,Epouvante-horreur
Rendez-vous avec la peur,31 mars 2004,Epouvante-horreur
Famille
Famille
Famille
Là-haut,Pas de date,Famille
Togo,Pas de date,Famille
Ma Vie De Courgette,Pas de date,Famille
Le Peuple Loup,Pas de date,Famille
Vice Versa,Pas de date,Famille
Zootopie,Pas de date,Famille
Dragons,Pas de date,Famille
La Ligne verte,Pas de date,Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
Fantastique
La Liste de Schindler,13 mars 2019,Guerre
Guerre
Guerre
Voyage au bout de l'enfer,25 juillet 2018,Guerre
Apocalypse Now Final Cut,21 août 2019,Guerre
Les Sentiers de la gloire,23 mars 2011,Guerre
Il faut sauver le soldat Ryan,Pas de date,Guerre
Full Metal Jacket,Pas de date,Guerre
1917,Pas de date,Guerre
Quand passent les cigognes,30 octobre 2019,Guerre
Historique
Historique
Le Pianiste,Pas de date,Historique
12 Years a Slave,Pas de date,Historique
Historique
Historique
La passion de Jeanne d'Arc,Pas de date,Historique
Edmond,Pas de date,Historique
Historique
"America, America",Pas de date,Historique
Musical
Whiplash,Pas de date,Musical
Musical
Les Chaussons rouges,7 avril 2010,Musical
À bout de course,22 avril 2009,Musical
Good Morning England,Pas de date,Musical
L'Etrange Noël de M. Jack 3D,22 octobre 2008,Musical
N.W.A - Straight Outta Compton,Pas de date,Musical
La Belle et la Bête,16 mai 2012,Musical
The Blues Brothers,18 novembre 2015,Musical
Policier
Policier
Pulp Fiction,Pas de date,Policier
Policier
Seven,Pas de date,Policier
"Le Parrain, 2e partie",18 septembre 2013,Policier
Usual Suspects,18 juillet 2001,Policier
Fenêtre sur cour,22 octobre 2008,Policier
Reservoir Dogs,12 août 2009,Policier
La Mort aux trousses,Pas de date,Policier
Romance
Romance
Romance
Romance
Lettre d'une inconnue,9 février 2022,Romance
Titanic,8 février 2023,Romance
Boulevard du crépuscule,9 novembre 2016,Romance
Romance
L'Inconnu,19 juin 2002,Romance
Mirage de la vie,7 août 2019,Romance
Science Fiction
Science Fiction
Inception,12 août 2020,Science Fiction
Science Fiction
Science Fiction
Science Fiction
Science Fiction
Science Fiction
Wall-E,Pas de date,Science Fiction
Retour vers le futur II,Pas de date,Science Fiction
Thriller
Thriller
Thriller
Thriller
Parasite,Pas de date,Thriller
Thriller
Thriller
Thriller
Thriller
Thriller
Il était une fois dans l'Ouest,10 octobre 2018,Western
"Le Bon, la brute et le truand",5 novembre 2014,Western
Django Unchained,Pas de date,Western
Danse avec les loups,Pas de date,Western
Et pour quelques dollars de plus,4 novembre 2009,Western
Impitoyable,21 juin 2017,Western
The Revenant,Pas de date,Western
Little Big Man,20 juillet 2016,Western
Il était une fois la révolution,21 octobre 2009,Western
Pour une poignée de dollars,Pas de date,Western
